L,H,window_id,model,ticker,val_origin_start,val_origin_end,RMSE,MAE,Directional_Accuracy
10,5,0,AR Linear,EWZ,2019-12-20,2021-01-15,0.0774765151822076,0.052450424024443144,0.4740740740740741
10,5,0,AR Linear,GXG,2019-12-20,2021-01-15,0.08454708027009165,0.050765532574828715,0.5740740740740741
10,5,0,ARIMA,ECH,2019-12-20,2021-01-15,0.06043212412203273,0.0413408084498676,0.48518518518518516
10,5,0,ARIMA,EWW,2019-12-20,2021-01-15,0.055857975301715206,0.03983954035066369,0.5111111111111111
10,5,0,ARIMA,EWZ,2019-12-20,2021-01-15,0.07629656219700082,0.05206630945566852,0.5074074074074074
10,5,0,ARIMA,GXG,2019-12-20,2021-01-15,0.08578892647178858,0.051086383193409905,0.5444444444444444
10,5,0,ARCH,ECH,2019-12-20,2021-01-15,0.06028464798211844,0.041299940331933654,0.4888888888888889
10,5,0,ARCH,EWW,2019-12-20,2021-01-15,0.05776601383598073,0.040020971396950024,0.4925925925925926
10,5,0,ARCH,EWZ,2019-12-20,2021-01-15,0.07693365149461336,0.052111599778363764,0.5
10,5,0,ARCH,GXG,2019-12-20,2021-01-15,0.08462403371217792,0.05082475925991251,0.562962962962963
10,5,0,GARCH,ECH,2019-12-20,2021-01-15,0.060619979150744484,0.042062008883308515,0.4888888888888889
10,5,0,GARCH,EWW,2019-12-20,2021-01-15,0.057899263546666205,0.04034707570953636,0.4925925925925926
10,5,0,GARCH,EWZ,2019-12-20,2021-01-15,0.07735084347204255,0.05227017309794147,0.5
10,5,0,GARCH,GXG,2019-12-20,2021-01-15,0.08335970195658382,0.050720747285629766,0.562962962962963
10,5,0,VAR,ECH,2019-12-20,2021-01-15,0.06034292597299348,0.04138976389777327,0.4925925925925926
10,5,0,VAR,EWW,2019-12-20,2021-01-15,0.05792085856632152,0.04008768136552037,0.48518518518518516
10,5,0,VAR,EWZ,2019-12-20,2021-01-15,0.07710628072479617,0.052186639173023526,0.4703703703703704
10,5,0,VAR,GXG,2019-12-20,2021-01-15,0.08470627852992413,0.05095463688207168,0.5444444444444444
10,5,0,Ridge,ECH,2019-12-20,2021-01-15,0.05961595076368415,0.040536050112477455,0.5851851851851851
10,5,0,Ridge,EWW,2019-12-20,2021-01-15,0.058588282781249314,0.03948045035343744,0.5814814814814815
10,5,0,Ridge,EWZ,2019-12-20,2021-01-15,0.07908379697131103,0.052264646636237026,0.5481481481481482
