L,H,Asset,Model,RMSE,MAE,Directional_Accuracy,N_Windows,MCS_Status
21,1,EWZ,ARIMA,0.02517574371969982,0.018707626723048782,0.4929368029739777,5,Excluded
21,1,EWZ,Diffusion,0.023873983081458806,0.017469655505956243,0.5018587360594795,5,Excluded
21,1,EWZ,GARCH,0.026519835401833797,0.01969002034773969,0.524907063197026,5,Excluded
21,1,EWZ,Historical Mean,0.024328608935023886,0.01794813149730434,0.5144981412639404,5,Excluded
21,1,EWZ,MLP,0.17248551436217724,0.1250019048309624,0.5092936802973977,5,Excluded
21,1,EWZ,Random Forest,0.023997070200309036,0.01749656500401508,0.4951672862453531,5,Excluded
21,1,EWZ,Random Walk,0.023743913741324108,0.017408792634787812,0.5,5,In MCS
21,1,EWZ,Ridge,0.025159033784121022,0.01845343230672903,0.4847583643122676,5,Excluded
21,1,EWZ,VAR,0.02380680436464092,0.017492021883739148,0.508550185873606,5,Excluded
21,1,GXG,AR Linear,0.018168517579693767,0.012733595540571435,0.558364312267658,5,Excluded
21,1,GXG,ARCH,0.01820154684450616,0.01268634860894088,0.5553903345724907,5,Excluded
21,1,GXG,ARIMA,0.01967897344277016,0.01344911039439059,0.5063197026022305,5,Excluded
21,1,GXG,Diffusion,0.018492070981824225,0.012888002192465723,0.4884758364312267,5,Excluded
21,1,GXG,GARCH,0.019872294252604207,0.014050568263513686,0.5553903345724907,5,Excluded
21,1,GXG,Historical Mean,0.018883661545802243,0.013198108735252184,0.5174721189591078,5,Excluded
21,1,GXG,MLP,0.19143546537307896,0.13540393460238334,0.5092936802973977,5,Excluded
21,1,GXG,Random Forest,0.018447751205763217,0.012748352762787648,0.5219330855018588,5,Excluded
21,1,GXG,Random Walk,0.018409941841362475,0.012779794349928916,0.5,5,In MCS
21,1,GXG,Ridge,0.01897447194661008,0.013323331852670697,0.5197026022304833,5,Excluded
21,1,GXG,VAR,0.01829996643183272,0.01273666499636048,0.5620817843866172,5,Excluded
21,5,ECH,AR Linear,0.04562351524659153,0.035522022430199696,0.4791044776119403,5,Excluded
21,5,ECH,ARCH,0.045387565873934096,0.03535633972116648,0.4641791044776119,5,In MCS
21,5,ECH,ARIMA,0.04643393483137241,0.0360518620379484,0.5164179104477612,5,Excluded
21,5,ECH,Diffusion,0.04538539619283806,0.035036916968274684,0.5514925373134328,5,Excluded
21,5,ECH,GARCH,0.04545483817365327,0.035534835614705704,0.4641791044776119,5,Excluded
21,5,ECH,Historical Mean,0.045794832655656134,0.03555422714786257,0.5126865671641792,5,Excluded
21,5,ECH,MLP,0.18344377221661698,0.13344453264194175,0.5134328358208956,5,Excluded
21,5,ECH,Random Forest,0.04574073463576366,0.03553264466496586,0.48134328358208955,5,Excluded
21,5,ECH,Random Walk,0.04542546591042511,0.03532869143488414,0.5,5,Excluded
21,5,ECH,Ridge,0.04671773831232987,0.03612925466441451,0.5007462686567165,5,Excluded
21,5,ECH,VAR,0.045410277450463776,0.03541397486314258,0.4843283582089552,5,Excluded
21,5,EWW,AR Linear,0.03723210627576631,0.028212522804394773,0.5134328358208955,5,Excluded
21,5,EWW,ARCH,0.036886417192363186,0.028138573627064883,0.4776119402985074,5,In MCS
21,5,EWW,ARIMA,0.03865136842847491,0.029650032576753353,0.4977611940298507,5,Excluded
21,5,EWW,Diffusion,0.036775423647163186,0.027688511629752322,0.5783582089552238,5,Excluded
21,5,EWW,GARCH,0.03700923971474266,0.028275404557840424,0.4776119402985074,5,Excluded
21,5,EWW,Historical Mean,0.03690247595450237,0.02821750728375854,0.4888059701492537,5,Excluded
21,5,EWW,MLP,0.18163041146616615,0.1377640746087242,0.5194029850746269,5,Excluded
21,5,EWW,Random Forest,0.03720013872761831,0.028270956035295513,0.503731343283582,5,Excluded
21,5,EWW,Random Walk,0.03688242343461705,0.028111931074640124,0.5,5,Excluded
