L,H,window_id,model,regime,n_eval,RMSE,MAE,Directional_Accuracy
21,1,1,AR Linear,low_vol,82,0.01528423331669508,0.011591519348014088,0.5548780487804879
21,1,1,AR Linear,high_vol,187,0.01732373634851896,0.012854406970078721,0.5548128342245989
21,1,1,ARIMA,low_vol,82,0.018334887831114647,0.01367415479849864,0.5121951219512195
21,1,1,ARIMA,high_vol,187,0.02142930337539024,0.016044169858755022,0.49064171122994654
21,1,1,ARCH,low_vol,82,0.015321958731530397,0.011606920562176017,0.5274390243902439
21,1,1,ARCH,high_vol,187,0.017225316926084498,0.012849957985950457,0.5147058823529411
21,1,1,GARCH,low_vol,82,0.01625136332984978,0.012239906034501523,0.5274390243902439
21,1,1,GARCH,high_vol,187,0.018617506908004282,0.01398578826364916,0.5147058823529411
21,1,1,VAR,low_vol,82,0.015467729091475393,0.011715852643730287,0.5457317073170732
21,1,1,VAR,high_vol,187,0.017231183146021966,0.0128482472021249,0.516042780748663
21,1,1,Ridge,low_vol,82,0.015854041956340166,0.012180347415562133,0.5182926829268293
21,1,1,Ridge,high_vol,187,0.01833144328779996,0.013873651902906443,0.48663101604278075
21,1,1,MLP,low_vol,82,0.14540989594205495,0.11383086546363562,0.524390243902439
21,1,1,MLP,high_vol,187,0.1891035261837152,0.1428135702187903,0.5213903743315508
21,1,1,Random Forest,low_vol,82,0.01544933958565877,0.011754318867659293,0.5335365853658537
21,1,1,Random Forest,high_vol,187,0.01744818447852754,0.013005320910559112,0.5320855614973262
21,1,1,Diffusion,low_vol,82,0.01546864897375356,0.011725548454893934,0.524390243902439
21,1,1,Diffusion,high_vol,187,0.017200648344943142,0.012792296185436716,0.5481283422459893
21,1,2,Random Walk,low_vol,101,0.016109600347624445,0.012118388734619744,0.009900990099009901
21,1,2,Random Walk,high_vol,168,0.018517206199074734,0.013650168981695179,0.005952380952380952
21,1,2,Historical Mean,low_vol,101,0.01665787611675204,0.012626891947629674,0.4801980198019802
21,1,2,Historical Mean,high_vol,168,0.0190885087726816,0.014136845416815737,0.49255952380952384
21,1,2,AR Linear,low_vol,101,0.01604343659351434,0.011962990398308023,0.5371287128712872
21,1,2,AR Linear,high_vol,168,0.01869338083284108,0.013902739063150208,0.5
21,1,2,ARIMA,low_vol,101,0.01873239075494225,0.014106870926815743,0.5173267326732673
21,1,2,ARIMA,high_vol,168,0.020836394971434677,0.015870482961746993,0.5029761904761905
21,1,2,ARCH,low_vol,101,0.01603585276326745,0.011951239479918984,0.5594059405940595
21,1,2,ARCH,high_vol,168,0.018637488972918597,0.013798243433389392,0.46130952380952384
21,1,2,GARCH,low_vol,101,0.017110246139233554,0.01262281227851178,0.5594059405940595
21,1,2,GARCH,high_vol,168,0.02035237711657509,0.015247983110924096,0.46130952380952384
21,1,2,VAR,low_vol,101,0.016216148526204698,0.012117410038528757,0.5396039603960396
21,1,2,VAR,high_vol,168,0.01861989537177302,0.013779154747799158,0.5163690476190477
21,1,2,Ridge,low_vol,101,0.016706449163132065,0.012725127602086566,0.5024752475247525
21,1,2,Ridge,high_vol,168,0.019261373885426723,0.01451827030143172,0.5059523809523809
21,1,2,MLP,low_vol,101,0.11075598291472018,0.08451300296771774,0.49504950495049505
21,1,2,MLP,high_vol,168,0.12167052892814909,0.09215095753746438,0.4895833333333333
21,1,2,Random Forest,low_vol,101,0.016197519636051386,0.012130462496756037,0.49257425742574257
21,1,2,Random Forest,high_vol,168,0.01868764445247718,0.013810950836670237,0.47767857142857145
21,1,2,Diffusion,low_vol,101,0.01625845857852542,0.012380884138706662,0.47277227722772275
21,1,2,Diffusion,high_vol,168,0.018682960629402962,0.013817046193805367,0.4880952380952381
21,1,3,Random Walk,low_vol,32,0.0163085647105131,0.012346976373196383,0.0
21,1,3,Random Walk,high_vol,237,0.01961998913236746,0.015036954687873812,0.004219409282700422
21,1,3,Historical Mean,low_vol,32,0.0168390591020641,0.012790135251832712,0.5234375
21,1,3,Historical Mean,high_vol,237,0.02016740154390854,0.015583066879596314,0.4831223628691983
21,1,3,AR Linear,low_vol,32,0.01652697087283015,0.012529265510037928,0.4609375
21,1,3,AR Linear,high_vol,237,0.019872486571492824,0.015322662710660958,0.4957805907172996
21,1,3,ARIMA,low_vol,32,0.017816237461065476,0.013850045423004895,0.5234375
21,1,3,ARIMA,high_vol,237,0.021485880043806933,0.01689895102687376,0.49683544303797467
21,1,3,ARCH,low_vol,32,0.01642020951796569,0.012339273895654543,0.5234375
21,1,3,ARCH,high_vol,237,0.019765520871253453,0.015209622003324503,0.4957805907172996
21,1,3,GARCH,low_vol,32,0.017877047010149173,0.013002695336499177,0.5234375
21,1,3,GARCH,high_vol,237,0.02178067381736024,0.016659969610409806,0.4957805907172996
21,1,3,VAR,low_vol,32,0.016615157071983924,0.012545747166653114,0.4609375
21,1,3,VAR,high_vol,237,0.01977002956098101,0.015232638693474411,0.4978902953586498
21,1,3,Ridge,low_vol,32,0.01705423453395744,0.012837304630553594,0.390625
21,1,3,Ridge,high_vol,237,0.020353099103503813,0.01575082129732245,0.47890295358649787
21,1,3,MLP,low_vol,32,0.09400295930426245,0.07383015270298365,0.4609375
21,1,3,MLP,high_vol,237,0.10626159502975223,0.08117623493257846,0.4989451476793249
21,1,3,Random Forest,low_vol,32,0.016441371431916603,0.01244860149581005,0.3984375
21,1,3,Random Forest,high_vol,237,0.019581915655558325,0.014979703034643002,0.5126582278481012
21,1,3,Diffusion,low_vol,32,0.016671182663869084,0.012449507376859795,0.5234375
21,1,3,Diffusion,high_vol,237,0.019811466640697127,0.01523496983011275,0.48945147679324896
21,1,4,Random Walk,low_vol,130,0.014744490356960495,0.011288868336557786,0.011538461538461539
