L,H,Regime,Model,RMSE,MAE,Directional_Accuracy,N_Windows,N_Val_Total
42,1,low_vol,Diffusion,0.016708041565033357,0.012513543621956256,0.47726157039681627,4,301
42,1,low_vol,GARCH,0.01721182838370913,0.01280852380526557,0.5152597402597403,4,301
42,1,low_vol,Historical Mean,0.016715357127222698,0.012431452487304108,0.5012260963080635,4,301
42,1,low_vol,MLP,0.23841443727749717,0.18268407091499037,0.49296714214747,4,301
42,1,low_vol,Random Forest,0.01663570812366548,0.012360266376350626,0.49551305934502654,4,301
42,1,low_vol,Random Walk,0.01658131698067509,0.012344608145822075,0.5,4,301
42,1,low_vol,Ridge,0.018004403723452637,0.013639157917802243,0.4994446810020581,4,301
42,1,low_vol,VAR,0.01652995545908227,0.012269028667210788,0.5283326304842698,4,301
42,5,high_vol,AR Linear,0.047949019539536036,0.03563636974025357,0.5116362629273143,5,1032
42,5,high_vol,ARCH,0.04786218457027662,0.03568315227646236,0.4846328830086997,5,1032
42,5,high_vol,ARIMA,0.0487755282645798,0.036275404875638476,0.5034068300756378,5,1032
42,5,high_vol,Diffusion,0.04837810856976346,0.035719795247412554,0.5461449923672964,5,1032
42,5,high_vol,GARCH,0.04828520725564119,0.03618131127755769,0.4846328830086997,5,1032
42,5,high_vol,Historical Mean,0.048040485452019784,0.03568467065208133,0.5038707974471384,5,1032
42,5,high_vol,MLP,0.3007253204302527,0.223282893552756,0.4978436666234341,5,1032
42,5,high_vol,Random Forest,0.04851547287356151,0.03616650278902922,0.48502647071148813,5,1032
42,5,high_vol,Random Walk,0.04793696689177658,0.035639983703284486,0.5,5,1032
42,5,high_vol,Ridge,0.051478331445406124,0.03830560375342101,0.5087879954121458,5,1032
42,5,high_vol,VAR,0.04788866664719767,0.0357291785467545,0.4910649751869167,5,1032
42,5,low_vol,AR Linear,0.03732842560940856,0.029136187365346348,0.4955468647430088,4,298
42,5,low_vol,ARCH,0.03692275762859238,0.02887276503599819,0.5322203437392339,4,298
42,5,low_vol,ARIMA,0.03813832925229076,0.02989778581122824,0.4865361171350863,4,298
42,5,low_vol,Diffusion,0.03704543032285611,0.028675961392974497,0.5254443605231914,4,298
42,5,low_vol,GARCH,0.037051227072216204,0.028951195039975224,0.5322203437392339,4,298
42,5,low_vol,Historical Mean,0.03688746539195086,0.02887380381926369,0.5015913493696127,4,298
42,5,low_vol,MLP,0.2576545371258794,0.20157873843333582,0.5113086373790022,4,298
42,5,low_vol,Random Forest,0.037114479292287665,0.029089556976452647,0.5032384190711447,4,298
42,5,low_vol,Random Walk,0.03703770324244574,0.02895836969201356,0.5,4,298
42,5,low_vol,Ridge,0.03920583842325122,0.030702748564850023,0.5044652435099763,4,298
42,5,low_vol,VAR,0.03698784673544687,0.0289058308384173,0.4980694194103878,4,298
