L,H,window_id,model,val_origin_start,val_origin_end,n_train,n_val,RMSE,MAE,Directional_Accuracy
10,5,4,Random Walk,2022-11-28,2023-12-22,1976,270,0.035269332318469494,0.028109644295489972,0.0
10,5,4,Historical Mean,2022-11-28,2023-12-22,1976,270,0.03583936893743473,0.028508418177967582,0.48518518518518516
10,5,4,AR Linear,2022-11-28,2023-12-22,1976,270,0.03535935960699714,0.028161033270073767,0.48518518518518516
10,5,4,Ridge,2022-11-28,2023-12-22,1976,270,0.03559116855020741,0.028618389438013113,0.4898148148148148
10,5,4,MLP,2022-11-28,2023-12-22,1976,270,0.06370882084421275,0.04998264855565474,0.5138888888888888
10,5,4,Random Forest,2022-11-28,2023-12-22,1976,270,0.035511200138146556,0.02842968279304179,0.4861111111111111
10,5,4,Diffusion,2022-11-28,2023-12-22,1976,270,0.24412482809771918,0.19178749005078186,0.4888888888888889
21,1,0,Random Walk,2019-12-26,2021-01-20,1233,269,0.031346969732374594,0.019863095562282794,0.008364312267657992
21,1,0,Historical Mean,2019-12-26,2021-01-20,1233,269,0.03207699864857647,0.020568660785505382,0.516728624535316
21,1,0,AR Linear,2019-12-26,2021-01-20,1233,269,0.03156284160669924,0.020132707318610533,0.5037174721189591
21,1,0,Ridge,2019-12-26,2021-01-20,1233,269,0.03171344459148091,0.02011532362228013,0.5009293680297398
21,1,0,MLP,2019-12-26,2021-01-20,1233,269,0.3063547816926837,0.1952041822999521,0.5195167286245354
21,1,0,Random Forest,2019-12-26,2021-01-20,1233,269,0.03177194691537764,0.019894720504096654,0.5306691449814126
21,1,0,Diffusion,2019-12-26,2021-01-20,1233,269,1.230043364849626,0.9783794675699847,0.5065055762081785
21,1,1,Random Walk,2020-09-21,2021-10-13,1418,269,0.016744784720811767,0.01256199941124984,0.007434944237918215
21,1,1,Historical Mean,2020-09-21,2021-10-13,1418,269,0.017008943305437167,0.012778683806007112,0.5353159851301115
21,1,1,AR Linear,2020-09-21,2021-10-13,1418,269,0.016728395922000604,0.012469437509077612,0.5548327137546468
21,1,1,Ridge,2020-09-21,2021-10-13,1418,269,0.0175083135220244,0.01320407386095088,0.48698884758364314
21,1,1,MLP,2020-09-21,2021-10-13,1418,269,0.1697924808866198,0.12831800895659595,0.4739776951672863
21,1,1,Random Forest,2020-09-21,2021-10-13,1418,269,0.016841974448301242,0.012592153016902332,0.5362453531598513
21,1,1,Diffusion,2020-09-21,2021-10-13,1418,269,0.3428237413072822,0.27029377775199115,0.5027881040892194
21,1,2,Random Walk,2021-06-16,2022-07-11,1603,269,0.017651778876602554,0.01307503959524679,0.007434944237918215
21,1,2,Historical Mean,2021-06-16,2022-07-11,1603,269,0.018213962187275265,0.01356991121463063,0.4879182156133829
21,1,2,AR Linear,2021-06-16,2022-07-11,1603,269,0.017744878882197234,0.013174431943636971,0.5139405204460966
21,1,2,Ridge,2021-06-16,2022-07-11,1603,269,0.0180745484927634,0.013546361834674375,0.5027881040892194
21,1,2,MLP,2021-06-16,2022-07-11,1603,269,0.12409778984214248,0.09583107069659302,0.4739776951672863
21,1,2,Random Forest,2021-06-16,2022-07-11,1603,269,0.017780752167043078,0.013161791341612964,0.49070631970260226
21,1,2,Diffusion,2021-06-16,2022-07-11,1603,269,0.36209099536758993,0.2907794597842499,0.4721189591078067
21,1,3,Random Walk,2022-03-10,2023-04-04,1788,269,0.019255930268476665,0.014716957267540435,0.0037174721189591076
21,1,3,Historical Mean,2022-03-10,2023-04-04,1788,269,0.01980080480875793,0.015250822224992466,0.4879182156133829
21,1,3,AR Linear,2022-03-10,2023-04-04,1788,269,0.019504601569352405,0.014990362671925134,0.491635687732342
